Toll Free Number for control center 									
Essential Health Service Desk 	1383								
Livestock essential supply desk 	1385								
Essential Commodities (FCBL & vegetables items supply)	1386								
Logistics and Information desk	1348								
									
									
									
ESSENTIAL SUPPLIES									
food and nonfood item.									
shops 	Location	Contact	email						
Nams Enterprise	"Babesa,"	17921480	enterprisenams@gmail.com						
NN Tshongkhang	Sabji Bazaar	17767448	lamphub@gmail.com						
Yeewong General Shop	Changzamtog	17423334/77251472/77654138	thekchhok9@gmail.com						
Dagana Trading Center	"Lubding, Lungtenphu"	17392890/17763685	dtcbhutan@gmail.com						
Dorji & Om	Olakha	77607552/17556145/17753822	lovezang1986@yahoo.com						
Shopper Store	NPPF Colony	17114143/17600551	kimongtrading@gmail.com						
Number 7	Olakha	17624123	Phurba73@gmail.com						
Latshog	Motithang near BOD	17609559	pgyal7@gmail.com						
Wangchuk Mart	Changangkha	77390216	twt.fairy@gmail.com						
Bidha Tshangkhang	Above TT club	17458372	jwangmo1978@gmail.com						
Druk Garden	Changzamtok	17977481	tpseven2010@gmail.com						
ST Mart	Taba	17604690/17288080	kinleydental@yahoo.com						
									
wine and liquor 									
Fhola Tshongkhang		176606897/77767871	fholanasa1969@gmail.com						
online/e-commerce									
shoponline.bt		17889665/17445504	karmalingyel@gmail.com						
zala.bt		17611533/77131316	karmatenzin@abit.bt						
Oneclickshopbhutan.com		77439621/17596814/77400858/02350993	oneclickshopbhutan@gmail.com						
									
LPG Gas delivery 									
Grievances in LPG 	17620947/17829595/17821895								
Happy Delivery Services	17887440/17470398	Chubachhu							
Wangdi Phub Gas Delivery	17648420	Changjalu							
Kunzang Gas Delivery Services	17638510	Changzamtog							
Kinley Home Delivery Services	77208655/17668859	Changangkha							
Tashi Rabten Gas Delivery	17862098/77361995/17862098	Pamtsho							
Safe Delivery Gas	77237465/77855737	Olakha							
Azha Pasa Gas Delivery Services	17110975/17959429/77436583	Near NPPF Colony							
Nazhoen gas delivery services	17589529/17713205	Taba/Dechenchholing							
TT Gas Agent 	77636429/17562791	Simtokha							
Tandin Gas Agent	17579499/17652590/17579499 	Taba/Dechenchholing/Kabisa							
Bhutan Industrial	17961436	Thimphu Throm (Only Commercial Gas)							
									
									
Supply Centers by Gewog									
Gewog 	Contact Point 	Distribution Point/Collection point  	Villages and Chewogs 						
Kawang 	"Gup : 77652700
Nidup Zangmo (Agri EA): 17600133"	Kuzuchen MSS/ Indentified Grocery Shop	"Old farm
"	Dazhi/Zhozhi					
			Market Shed	Changtagang					
			RNR Center	Hangkawog/Chokhor					
			Kuzuchen MSS	Kuzuchen 					
			Chamina Dotagchen	Chamina / Khurdan					
			Guru Lhakhang 	Begana					
Changh 	"Gup : 17605323
Dechen (Agri EA) : 17661463"	Changzamtog FCBL Depot / Identified grocery Shops	Market Shed	Hongtsho					
			Market Shed	Yusipang					
			Market Shed	Rama					
			Space near Tshogpa's residence 	Depsi					
			Above Thunpapinzhi 0 point express way market shed	Gamchey/Talakha					
Mewang	"Gup : 17627366
Thuji (Jimina Agri EA): 17787336
Karma Choden (Khasadrapchu Agri EA) : 17545225"	Khasarapchu MSS/ indentified grocery shops	Kemgang	Tsaluna					
			Domsaney	Jimina					
			"Jamisa market shed, Simu market shed, Nyzerkha market shed"	Namseling					
			"Gewog Center, Khasakha ECCD, Singay Lhakhang, Jamdo, MiniHydel, Langdro market shed "	Khasadrapchu					
			"Pasikha, near pungzhi hotel, Sisina market shed , Khariphu Bachu (archery range), near Dalukha ex-gup's house"	Sisina 					
Geney 	"Gup: 17129393
Kinley Dorji (Agri EA): 17632974
Farmshop, Sale person's: 17757500"	Geney Farm shop	"Tshocheykha, Jangrey, Zamtog, Tara"	Tshochecykha 					
			"Kaziphu, Geneykha, Gebelo"	Geneykha					
			"Zangleykha, Marchadangsa, Jicheykha"	Zangleykha					
			"Gebeyzhing, Charkilo market shed, Dupji, Kharisumtse, Chilibama, Timigang"	"Bama, Chegoen"					
Dagala	"Gup: 17600912
Wangdila (ADAO) : 17129793
Farm shop, Sonam Dekar : 17334384"	Dagala farm shop	Gewog farm shop 	Chamgangtoed and Maed					
			Chimakothi shar-shaft (aum Pem Dem Tshongkhang)	Getala					
			Wangdo and Dongdo	Geney Zam					
Soe	"Gup: 17614196
Phub Tshering (ADAO) : 17624726
Farm Shop, Sale person's"	Soe Farm shop (Domgochong) opr Shana	Soe Farm shop / Shana	"Jomphu, Dozoten, Dotaapaiteng, Damgochong, Jangothang"					
Lingzhi	"Gup : 17117266
Phub Tshering (ADAO): 17624726
Farm Shop, sale person: no number "	Lingzhi farm shop (Chakphu) or Shana	Lingzhi farm shop or Shana	"Chakphu, Chuzarkha, Gangyul, Khangkidyuel, Shyuel"					
Naro	"Gup: 17640142
Phub Tshering (ADAO) : 17624726"	FCBL / Dzongkhag to reach till road end point	Tashithang (Nalachita road point)	"Barshong, Mentsephu, Phagay, Zhomthang and Tashithang"					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
HEALTH SERVICES									
Dzongkhag Health Incharge									
Name	Designation	Health Center	Phone no						
Lhamo 	Clinical Office 	Dechencholing Hospital 	17625418						
Dr. Pawan Katel 	GDMO	Dechencholing Hospital 	77749093						
Rinzin Namgyel	Sr. Health Assistant	Kuzhugchen PHC	77808678						
Chencho Namgay	Health Assistant	Hongtsho PC	17707858						
Ugyen Dorji	Sr. Health Assistant	Chamgang PHC	"17692952
"						
