Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Contact # of Focal Person for Supply of Essential Goods by Gewog,Aug 11th 2020,Essential Supplies,https://www.facebook.com/bbsnews/photos/a.404989499515559/3784168528264289/?type=3&theater,Bumthang Dzo FB,,All part of one FB post - information divided between 6 images. I am trying to find one link that has all the information under one pdf/image/webpage,✓ ,,
Details of Food Storage Facilities,Aug 11th 2020,Essential Supplies,https://www.facebook.com/DzongkhagAdministrationBumthang/photos/pcb.1744262525723942/1744261689057359/?type=3&theater,Bumthang Dzo FB,,,✓ ,,
Grocery Dealer in Chamkhar Town,Aug 11th 2020,Essential Supplies,https://www.facebook.com/DzongkhagAdministrationBumthang/photos/pcb.1744262525723942/1744261932390668/?type=3&theater,Bumthang Dzo FB,,,✓ ,,
"Grocery Dealers in Ura, Tang, Chhumey, Choekhor + POL Station, FCB",Aug 11th 2020,Essential Supplies,https://www.facebook.com/DzongkhagAdministrationBumthang/photos/pcb.1744262525723942/1744262112390650/?type=3&theater,Bumthang Dzo FB,,,✓ ,,
"Contact details of Grocery Supplier for Chumey, Chokhor, Tang & Ura",Aug 11th 2020,Essential Supplies,https://www.facebook.com/DzongkhagAdministrationBumthang/photos/pcb.1744262525723942/1744262372390624/?type=3&theater,Bumthang Dzo FB,,,✓ ,,
Contact details of Grocery Supplier for Chamkhar,Aug 11th 2020,Essential Supplies,https://www.facebook.com/DzongkhagAdministrationBumthang/photos/pcb.1744262525723942/1744261689057359/?type=3&theater,Bumthang Dzo FB,,,✓ ,,
Pharmaceutical & Stocking stores,Aug 11th 2020,"Essential Supplies and 
Health Services",https://www.facebook.com/DzongkhagAdministrationBumthang/photos/pcb.1744262525723942/1744262239057304/?type=3&theater,Bumthang Dzo FB,,,,,
Focals for Essential services (Eastern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3382995785095347/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,
Focals for Essential services (Eastern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382904631771129/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,Phuntsho
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Central Region Toll Free Numbers,Aug 18th 2020,Toll-Free Numbers,https://www.facebook.com/DzongkhagAdministrationBumthang/photos/pcb.1751296121687249/1751295395020655/?type=3&theater,Bumthang Dzo FB,,"Bumthang, Punakha, Gasa, Trongsa
Might have already been added by Phuntsho",✓ ,,
Dzongkhag Toll-numbers,18-Aug,Toll-Free Numbers,http://www.bumthang.gov.bt/announcements/18th-aug-2020-toll-free-numbers-national-central-southern-and-eastern-regions-bhutan,,,,,,
"Emergency Contact Numbers: Toll-fee, Hospital, Banks, Pharmacy, Cremation",Aug 16th 2020,Various,https://www.facebook.com/bbsnews/photos/a.1072611762753326/3800690329945442/?type=3&theater,Bumthang Dzo FB,,"Banks, Pharmacy, Creamtion, Hospital",✓ ,,
Contact details of Dzongdags,11-Aug,,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
