Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Hotline numbers for emergency supplies ,20-Aug,Essential Supplies,https://www.facebook.com/www.dagana.gov.bt/posts/2604879609761316,Dagana Dzongkhag Administration,Dagana,Other(mention in Notes),Facebook post,,
Vegetable and livestock supply contact numbers,19-Aug,Essential Supplies,https://www.facebook.com/www.dagana.gov.bt/photos/a.1715147778734508/2603528096563134/,Dagana Dzongkhag Administration,Dagana,Image,,,
Farm shops and FCBL ,12-Aug,Essential Supplies,https://www.facebook.com/www.dagana.gov.bt/photos/a.1720161334899819/2598792643703346/,Dagana Dzongkhag Administration,Dagana,Image,,,
Fuel/LPG/POL services,12-Aug,Essential Supplies,https://www.facebook.com/www.dagana.gov.bt/photos/a.1720161334899819/2598796097036334/,Dagana Dzongkhag Administration,Dagana,Image,,,
Vegetables vendors and pharmacy store,12-Aug,Esssential Supplies and Health Services,https://www.facebook.com/www.dagana.gov.bt/photos/a.1720161334899819/2598794390369838/,Dagana Dzongkhag Administration,Dagana,Image,,,
Focals for Essential services (Southern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966041464988/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,
Focals for Essential services (Southern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382906525104273/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,
Gups contact details,12-Aug,Helpline,https://www.facebook.com/www.dagana.gov.bt/photos/a.1720161334899819/2598784590370818/,Dagana Dzongkhag Administration,Dagana,Image,,,
Animal feed agents,16-Aug,Helpline,https://www.facebook.com/www.dagana.gov.bt/photos/a.1720161334899819/2600571140192163/,Dagana Dzongkhag Administration,Dagana,Image,,,
Cable TV services,13-Aug,Home Services,https://www.facebook.com/www.dagana.gov.bt/photos/a.1715147778734508/2599344833648127/,Dagana Dzongkhag Administration,Dagana,Image,,,
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Dzongkhag Website,,Dzongkhag Webpage,http://www.dagana.gov.bt/,,,,,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/www.dagana.gov.bt/,,,,,,
