Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Focals for Essential services (Central Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966034798322/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,Phuntsho
Focals for Essential services (Central Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382905825104343/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,Phuntsho
Essential health services numbers,11-Aug,General Health Services,https://www.facebook.com/permalink.php?story_fbid=4297908463584027&id=1559852960722938,Gasa Dzongkhag Facebook page,,,,,
Contact details of Dzongdags,11-Aug,local leaders,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,11-Aug,local leaders,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Dzongkhag Website,,Dzognklhag web,http://gasa.gov.bt/news/gasa-had-its-public-hearing-dzongkhag-thromde-tshogde-tshogpa-demkhong-draft-delimitation-plan,,,,,,
Dzongkhag Website,,,http://gasa.gov.bt/,,,,,,
Dzongkhag Facebook,,,https://www.facebook.com/Gasa-Dzongkhag-1559852960722938/,,,,,,
Dzongkhag Covid-19 Response Team,11-Aug,Task Force,https://www.facebook.com/Gasa-Dzongkhag-1559852960722938/photos/pcb.4297905006917706/4297902936917913/,Gasa Dzongkhag Facebook page,,,,,
Essential supplies focal persons,11-Aug,Essential Supplies,https://www.facebook.com/Gasa-Dzongkhag-1559852960722938/photos/pcb.4297905006917706/4297904233584450,Gasa Dzongkhag Facebook page,,,,,
Fuel and LPG distibutor,11-Aug,Essential Supplies,https://www.facebook.com/Gasa-Dzongkhag-1559852960722938/photos/pcb.4297905006917706/4297904800251060,Gasa Dzongkhag Facebook page,,,,,
Vegetable delivery service,12-Aug,Essential Supplies,https://www.facebook.com/permalink.php?story_fbid=4302675746440632&id=1559852960722938,Gasa Dzongkhag Facebook page,,,,,
Cable TV services,12-Aug,Home Services,https://www.facebook.com/permalink.php?story_fbid=4302067169834823&id=1559852960722938,Gasa Dzongkhag Facebook page,,,,,
Update and instructions for calling Hotline and other numbers [see end of post],17-Aug,Toll-Free Numbers,https://www.facebook.com/permalink.php?story_fbid=4326312664076940&id=1559852960722938,Gasa Dzongkhag Facebook page,,,,,
