Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Essential supplies and schedule for delivery,Aug 11th 2020,Essential Supplies,http://www.lhuentse.gov.bt/announcements/important-contact-details,Lhuntse Dzo Webstite,,,,,
Focals for Essential services (Eastern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3382995785095347/?type=3&theater,Image,Posted 14th Aug 2020,Regional,,,
Focals for Essential services (Eastern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382904631771129/?type=3&theater,Image,Posted 14th Aug 2020,Regional,,Also include in Category: Dzongkha,Phuntsho
Hotlines for Eastern Dzongkha's COVID19 Control Rooms,11-Aug,Helpline,https://www.facebook.com/PMOBhutan/photos/pcb.3146400075472674/3146390108807004,Image,Eastern Regional,,,Phuntsho,
Covid-19 Taskforce contact information and essential services,11-Aug,Helpline,http://www.lhuentse.gov.bt/banner/covid-19-lhuentse-dzongkhag?fbclid=IwAR1Cl3WtUyxx-eDJlkn65aI_e42Via7D_egviaCVm6EagzTxtVub7L631pE,Lhuentse  Dzongkhag Administration,,,,,
Multiple Gewog hotline numbers ,17-Aug,Helpline,https://www.facebook.com/dzadminlhuentse/photos/pcb.3321445884581576/3321444571248374/,Lhuentse  Dzongkhag Administration,Image,,,,
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,,Source: Ministry of Economic Affairs,Phuntsho 
Hotlines for Eastern Dzongkhags Covid-19 Control Rooms,11-Aug,Toll-Free Numbers,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/3373171242744468/?type=3&theater,Image,11th Aug 2020,Dzongkhags,,,Phuntsho
Dzongkhag Website,,Dzongkhag Webpage,http://www.lhuentse.gov.bt/node/1,,,,,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/dzadminlhuentse/,,,,,,
