Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Focals for Essential services (Eastern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3382995785095347/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,
Focals for Essential services (Eastern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382904631771129/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,Phuntsho
Emergency contacts and critical information infographic,15-Aug,Various,https://www.facebook.com/mongardzongkhag/posts/2787526448138747,Mongar Dzongkhag Facebook page,,,✓ Finso,Kheytsun,
Essential and Gewog toll-free contact details,15-Aug,Various,https://www.facebook.com/mongardzongkhag/posts/2787283858163006,Mongar Dzongkhag Facebook page,,Category: All essential contact information,✓ Finso,Kheytsun,
Hotlines for Eastern Dzongkha's COVID19 Control Rooms,11-Aug,Helpline,https://www.facebook.com/PMOBhutan/photos/pcb.3146400075472674/3146390108807004,Image,Eastern Regional,,✓,Phuntsho,
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Hotlines for Eastern Dzongkhags Covid-19 Control Rooms,11-Aug,Toll-Free Numbers,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/3373171242744468/?type=3&theater,Image,11th Aug 2020,Dzongkhags,✓ ,,Phuntsho
Dzongkhag Website,,Dzongkhag Webpage,http://www.mongar.gov.bt/node/1,,,,,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/mongardzongkhag/,,,,,,
