Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Dzongkhag Helplines,August 17,Toll-Free Numbers,https://www.gov.bt/covid19/17-08-2020-toll-free-numbers-national-central-southern-and-eastern-regions-of-bhutan/,Document,National,New version,✓,Might be duplicated in Highlights?,
Quarantine focal points by Dzongkhag,Not available,Helpline,https://www.gov.bt/covid19/quarantine-focal-numbers/,Document,Dzongkhag,,✓,,
Essential health services by dzongkhag,August 15,General Health Services,https://www.gov.bt/covid19/wp-content/uploads/2020/08/Essential-Health-Services-During-the-LOCKDOWN-2.pdf,PDF,Dzongkhag,New version,✓,,
Druk Gyalpo's Relief Kidu,August 11,Royal Kidu,https://www.royalkidu.bt/contacts/index.html,Website Link,National,,✓,,
Essential financial services,August 11,Financial Services,https://www.gov.bt/covid19/11-08-2020-public-notification-from-rma/,Document,National ,,✓,,
Counseling services,Not available,Helpline,https://www.gov.bt/covid19/counselling/,Document,National ,,✓,,
Domestic and gender-based violence support numbers,August 12,RENEW,https://www.facebook.com/bhutanrenew/photos/a.1458482631130637/2545650725747150/,Image,National,Domestic Violence or Gender based violence,✓,,
Senior citizens hotline number,April 3,Helpline,https://www.gov.bt/covid19/hotline-for-senior-citizen-is-6060/,Other(mention in Notes),National ,Its just the toll free number as a head line,✓,,
Grievance redressal Help Desk,August 13,Helpline,https://www.gov.bt/covid19/13-08-2020-notification-from-pmo/,Image,National ,,✓,,
Emergency Contact Numbers,August 11,Helpline,https://www.facebook.com/PMOBhutan/photos/pcb.3146400075472674/3146399855472696,Image,National,,✓,Phuntsho,
National COVID-19 Grievance Redressal Help-Desk,August 13,Helpline,https://www.facebook.com/PMOBhutan/posts/3152519254860756,Image,National,,✓,Phuntsho ,
Dzongda's contact details,August 11,Helpline,https://www.facebook.com/PMOBhutan/posts/3146796082099740,Image,National,,✓,Phuntsho,
