Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Vegetable suppliers in urban areas,13th Aug 2020,Essential Supplies,https://www.facebook.com/pemagatsheldzongkhag/photos/a.187751388248647/1225015374522238/?type=3&theater,Pemagatshel FB,Image,,,,
Egg delivery contact in Pema Gatshel Urban Areas,13th Aug 2020,Essential Supplies,https://www.facebook.com/pemagatsheldzongkhag/posts/1222874481402994,Pemagatshel FB,Image,,,,
LPG gas home delivery services,16th Aug 2020,Essential Supplies,https://www.facebook.com/pemagatsheldzongkhag/posts/1225031754520600,Pemagatshel FB,Image,,,,
Counsellors and focal persons for Mental Health and Domestic Violence,13th Aug 2020,Domestic Violence,https://www.facebook.com/pemagatsheldzongkhag/photos/a.187751388248647/1222728294750946/?type=3&theater,Pemagatshel FB,Image,,,,
Our Gyenkhu essential service providers and lockdown information,18th Aug 2020,Various,https://www.facebook.com/pemagatsheldzongkhag/photos/pcb.1226290191061423/1226772854346490/?type=3&theater,Pemagatshel FB,Image,,,,
Essential goods retailers and Gewog centers contact information,17th Aug 2020,Various,https://www.facebook.com/pemagatsheldzongkhag/photos/pcb.1226290191061423/1226290044394771/?type=3&theater,Pemagatshel FB,Image,,,,
Focals for Essential services (Eastern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3382995785095347/?type=3&theater,Image,Posted 14th Aug 2020,Regional,,,
Focals for Essential services (Eastern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382904631771129/?type=3&theater,Image,Posted 14th Aug 2020,Regional,,Also include in Category: Dzongkha,Phuntsho
Hotlines for Eastern Dzongkha's COVID19 Control Rooms,11-Aug,Helpline,https://www.facebook.com/PMOBhutan/photos/pcb.3146400075472674/3146390108807004,Image,Eastern Regional,,,Phuntsho,
Hotlines for Eastern Dzongkhags Covid-19 Control Rooms,11-Aug,Toll-Free Numbers,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/3373171242744468/?type=3&theater,Image,11th Aug 2020,Dzongkhags,,,Phuntsho
Various Toll Free Numbers,19th Aug 2020,Toll-Free Numbers,https://www.facebook.com/pemagatsheldzongkhag/photos/pcb.1228117087545400/1228116687545440/?type=3&theater,Pemagatshel FB,Image,Might have already been included,,Not added,
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,,Source: Ministry of Economic Affairs,Phuntsho 
"Shumar, Yurung & Zobel Tshogpas Contact",13th Aug 2020,Local Leader,https://www.facebook.com/pemagatsheldzongkhag/photos/pcb.1222922658064843/1222922031398239/?type=3&theater,Pemagatshel FB,Image,Single post - 3 images,,,
"Dungmaed, Khar & Nanong Tshogpas Contact",13th Aug 2020,Local Leader,https://www.facebook.com/pemagatsheldzongkhag/photos/pcb.1222922658064843/1222922061398236/?type=3&theater,Pemagatshel FB,Image,,,,
Chiming & Chongshing Tshogpas Contact,13th Aug 2020,Local Leader,https://www.facebook.com/pemagatsheldzongkhag/photos/pcb.1222922658064843/1222922048064904/?type=3&theater,Pemagatshel FB,Image,,,,
Dzongkhag Website,,Dzongkhag Webpage,http://www.pemagatshel.gov.bt/node/1,,,,,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/pemagatsheldzongkhag/,,,,,,
