Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Essential services for groceries and LPG,11th Aug 2020,Essential Supplies,https://www.facebook.com/SamdrupjongkharDzongkhagAdministration/photos/a.416746965200713/1565011350374263/?type=3&theater,SJ Dzo FB,Image,,,,
Emergency contact details of stock centers by Gewog,11-Aug,Essential Supplies,https://www.facebook.com/SamdrupjongkharDzongkhagAdministration/posts/1565019617040103,SJ Dzo FB,,,,,
Hotlines for Eastern Dzongkhags Covid-19 Control Rooms,11-Aug,Toll-Free Numbers,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/3373171242744468/?type=3&theater,Image,11th Aug 2020,Dzongkhags,✓ ,,Phuntsho
Toll Free Numbers,19th Aug 2020,Toll-Free Numbers,https://drive.google.com/file/d/1yHmcLbksiB5jVQjjmnZ4W6Na083aC6Q-/view?fbclid=IwAR2N1YYuPNJsp7oOmIe9P_15NjoSYru2GCyZ8YgU9cNDURJzfPM5Pz-xIeA,SJ Dzo FB,PDF,SJ on last page,(Might have been already added by Phuntsho),,
COVID-19 health services Toll Free number ,,Toll-Free Numbers,http://www.samdrupjongkhar.gov.bt/banner/covid-19-toll-free-number,SJ Dzo Website,,"Control Room + medical Desk
Unclear if this is for SJ",,,
Focals for Essential services (Eastern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3382995785095347/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,
Focals for Essential services (Eastern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382904631771129/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,Phuntsho
Hotlines for Eastern Dzongkha's COVID19 Control Rooms,11-Aug,Helpline,https://www.facebook.com/PMOBhutan/photos/pcb.3146400075472674/3146390108807004,Image,Eastern Regional,,✓,Phuntsho,
Operating center and control room numbers,11-Aug,Helpline,https://www.facebook.com/SamdrupjongkharDzongkhagAdministration/photos/pcb.1564972983711433/1564972320378166/?type=3&theater,SJ Dzo FB,Image,,,,
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Dzongkhag Website,,Dzongkhag Webpage,http://www.samdrupjongkhar.gov.bt/node/1,,,,,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/SamdrupjongkharDzongkhagAdministration/,,,,,,
