Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Automobile workshop services and timings,15-Aug,Automobile,https://www.facebook.com/Dzongkhag-Administration-Sarpang-821273754750497/photos/pcb.1415173065360560/1415173042027229,Sarpang Dzongkhag Administration ,Sarpang ,,✓,Kheytsun,
Essential items,,Essential Supplies,http://www.sarpang.gov.bt/announcements/announcement,Image,Sarpang,,✓,,
Grocery essentials delivery services,13-Aug,Essential Supplies, https://www.facebook.com/821273754750497/photos/a.844553755755830/1414416078769592/,Sarpang Dzongkhag Administration ,Sarpang ,,✓,Kheytsun,
Additional grocery supplier,15-Aug,Essential Supplies,https://www.facebook.com/821273754750497/photos/a.844553755755830/1415324972012036/,Sarpang Dzongkhag Administration ,Sarpang ,,✓ ,Kheytsun,
Meat Suppliers ,12-Aug,Essential Supplies,https://www.facebook.com/821273754750497/photos/a.844553755755830/1413670662177467/,Sarpang Dzongkhag Administration ,Sarpang ,,✓ ,Kheytsun,
"Water, electricity, sewer and garbage disposal services",11-Aug,Home Services,https://www.facebook.com/Dzongkhag-Administration-Sarpang-821273754750497/photos/pcb.1412899615587905/1412899598921240/,Sarpang Dzongkhag Administration ,,,✓,Kheytsun,
Focals for Essential services (Southern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966041464988/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,
Focals for Essential services (Southern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382906525104273/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,
Essential health services contacts,15-Aug,General Health Services,https://www.facebook.com/821273754750497/photos/a.844553755755830/1414662332078300/,Sarpang Dzongkhag Administration ,Sarpang ,,✓ ,Kheytsun,
Contact numbers for reporting travel history,,Helpline,http://www.sarpang.gov.bt/announcements/important-announcement,Image,Sarpang,,✓,,
Reporting travel history to Phuentsholing for mandatory testing,16-Aug,Helpline,http://www.sarpang.gov.bt/announcements/important-announcement,Sarpang Dzongkhag Administration ,Sarpang,,✓,Kheytsun,
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Heath center contact number ,18-Aug,Toll-Free Numbers,http://www.sarpang.gov.bt/announcements/17th-aug-2020-toll-free-numbers-national-central-southern-and-eastern-regions-bhutan?fbclid=IwAR1JF7xgZSZFyEAM1g7ngFUhtZFehgui8M1SjOTf0n0WqKlfdb4X8FkQMV4,Sarpang Dzongkhag Administration ,Sarpang ,Might have been added by Phuntsho,✓ ,Kheytsun,
Dzongkhag Website,,Dzongkhag Webpage,http://www.sarpang.gov.bt/node/1,,,,✓,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/Dzongkhag-Administration-Sarpang-821273754750497/,,,,✓,Kheytsun,
