Service Title by Source,Date of Upload,Source,Link,Service Category,Source,Format,Dzongkhag
Thimphu Thromde services ,11-Aug,Thimphu Thromde Facebook page,https://www.facebook.com/thimphuthromde2016/photos/a.1732424857002420/2774862779425284/?type=3&theater,Essential Supplies,Thimphu Thromde website,Image,Thimphu
Contact details of 8 stock centers,12-Aug,National Covid-19 Website,https://www.gov.bt/covid19/12-08-2020-thimphu-thromde-updated-stock-center-details/,Essential Supplies,National Covid-19 Website,Document,Thimphu
Stock center ordering time schedule ,12-Aug,Thimphu Thromde website,https://www.printfriendly.com/p/g/sZNPCL,Essential Supplies,Thimphu Thromde website,PDF,Thimphu
Vegetable on Wheels,14-Aug,Thimphu Thromde website,http://www.thimphucity.bt/announcements/notification-delivery-vegetables,Essential Supplies,Thimphu Thromde website,Other(mention in Notes),Thimphu
Livestock product delivery,11-Aug,The Bhutanese,https://www.facebook.com/TheBhutaneseNewspaper/photos/pcb.2849675418471703/2849674521805126/?type=3&theater,,Thimphu Thromde website,Image,Thimphu
"LPG retailers 
",14-Aug,Thimphu Thromde website,http://www.thimphucity.bt/announcements/list-identified-lpg-retailers,Essential Supplies,Thimphu Thromde website,Other(mention in Notes),Thimphu
Waste collection schedule during lockdown,17-Aug,National Covid-19 Website,https://www.gov.bt/covid19/13th-aug-2020-updated-schedule-for-waste-disposal-for-thimphu-bhutan/,Home Services,National Covid-19 Website,Document,Thimphu
Updated waste collection during lockdown ,13-Aug,Thimphu Thromde website,http://www.thimphucity.bt/index.php/announcements/updated-schedule-waste-collection-during-lock-down?fbclid=IwAR2opJKoIK8NadfJwNWsP3OWdIacIjnvBGYHDoTy1zhpelpWTbL8uUhHpjI,Essential Supplies,Thimphu Thromde website,Excel,Thimphu
Teleconsultation services during lockdown,14-Aug,Ministry of Health Facebook page,https://www.facebook.com/MoHBhutan/photos/a.771480979580187/3382246518503607/?type=3&theater,Health Services,Ministry of Health Facebook page,Image,Thimphu
Appointment numbers by hospital department,-,JDWNRH website,https://www.jdwnrh.gov.bt/wp-content/uploads/elementor/thumbs/contacts-oped3ygwm3e1a8qvruhcsk1nctrtt97dci7mipavvw.png,,JDWNRH website,Image,Thimphu
Add BBS Dzongkhag Health In Charge Resource,,,Insert link,,BBS,
Pharmaceutical shops,14-Aug,Thimphu Thromde website,http://www.thimphucity.bt/announcements/list-pharmaceutical-shops-and-pol-services,Essential Supplies,Thimphu Thromde website,Other(mention in Notes),Thimphu
Zone Facebook groups for Thimphu residents,18-Aug,PMO Facebook page,https://www.facebook.com/PMOBhutan/posts/3166650173447664?__xts__[0]=68.ARAcfztDmilfTS93rq-bfBl9FC9IIGefUj2pFuOWkvfrcAHp_FC5xluSfjWfEaxxtmIM5LDBRAMWV2dZ9KqEyvY0tI_A5Yrmq265KD9zYFwjvwPXi-DJdOoKMLSHmOCmvUGWshE3nKJHgQdavLsHfVuU6nNyj6DwiWLx6Ul1REMCwGOWgOgqQGvRAjREUuqF0c8rHqvUOC4LHXngKmLkF6xWlHPnRecI2AawjRFu9b27nqzgMt4Rqy7NZRST-z14QeGRsDEC9ikk8yBl6liJsp1uc4LGA4IGovBGMN7htjEZ0yi6tS7ZqBCBwSIUy1AFj8yg5sH12aQHMExqbcViQQ,Zone,PMO Facebook page,Other(mention in Notes),Thimphu
