Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
FCB stock centers contact numbers,11-Aug,Essential Supplies,https://www.facebook.com/trashiyangtseAdmin/posts/3185929261497724,Trashiyangtse Dzo FB,,,,,
"Essential services contact details, rates and schedule: Food, LPG, medicines",14-Aug,Essential Supplies,http://www.trashiyangtse.gov.bt/news/schedule-and-delivery-charge-trashi-yangtse,Trashiyangtse Website,,,,,Phuntsho
"Informational video on vegetable and livestock product distribution, schedule, and contact information",Aug 18th 2020,Essential Supplies,https://www.facebook.com/trashiyangtseAdmin/videos/1356816651181444/?type=3&theater,Trashiyangtse Dzo FB,Other(mention in Notes),Video,,,
Focals for Essential services (Eastern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3382995785095347/?type=3&theater,Image,Posted 14th Aug 2020,Regional,,,Phuntsho 
Focals for Essential services (Eastern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382904631771129/?type=3&theater,Image,Posted 14th Aug 2020,Regional,,Also include in Category: Dzongkha,Phuntsho
Hotlines for Eastern Dzongkha's COVID19 Control Rooms,11-Aug,Helpline,https://www.facebook.com/PMOBhutan/photos/pcb.3146400075472674/3146390108807004,Image,Eastern Regional,,,Phuntsho,
Baked goods delivery schedule and contact,Aug 18th 2020,Home Services,http://www.trashiyangtse.gov.bt/news/information-bakery-items,Trashiyangtse Dzo Website,Trashi Yangtse,,,,
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,,Source: Ministry of Economic Affairs,
Hotlines for Eastern Dzongkhags Covid-19 Control Rooms,11-Aug,Toll-Free Numbers,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/3373171242744468/?type=3&theater,Image,11th Aug 2020,Dzongkhags,,,
Toll free numbers for travel declaration by Gewog,17-Aug,Toll-Free Numbers,https://www.facebook.com/trashiyangtseAdmin/posts/3204018696355447,Trashiyangtse Dzo FB,,,,,
Dzongkhag Website,,Dzongkhag Webpage,http://www.trashiyangtse.gov.bt/node/1,,,,,,
