Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Notification on efficient & effective service delivery during lockdown,,Essential Supplies,http://www.trongsa.gov.bt/announcements/notification-efficient-effective-service-delivery-during-lockdown,PDF,Trongsa,,✓,,
Emergencies and Essential Services during lockdwon,Aug 12th 2020,Essential Supplies,https://www.facebook.com/TrongsaDzongkhag/photos/a.849978545091794/3345617162194574/?type=3&theater,Trongsa Dzo FB,Image,"Groceries, Dairy, Livestock Feed, Meat, LPG, Funeral Rites, Security",,,
Public Notification on service delivery by Dzongkhag Task Force Committee,16-Aug,Essential Supplies,http://www.trongsa.gov.bt/announcements/notification-efficient-effective-service-delivery-during-lockdown,,PDF,,✓,,
Focals for Essential services (Central Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966034798322/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,Phuntsho
Focals for Essential services (Central Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382905825104343/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,Phuntsho
OPD & In-patient services during lockdown in Trongsa Hospital,Aug 12th 2020,General Health Services,https://www.facebook.com/trongsahoapital/photos/a.1514805595253801/3220592174675126/?type=3&theater,Trongsa Dzo FB,Image,"Health Help Desk #, drop off and discharge info",,,
Mental Health Response Team,Aug 18th 2020,General Health Services,https://www.facebook.com/TrongsaDzongkhag/photos/pcb.3362734913816132/3362734667149490/?type=3&theater,Trongsa Dzo FB,Image,Contact info of entire mental health team including Counsellor and Nurse,,,
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Dzongkhag Hotline numbes,Aug 13th 2020,Toll-Free Number,https://www.facebook.com/TrongsaDzongkhag/photos/a.849978545091794/3347845101971780/?type=3&theater,Trongsa Dzo FB,Image,Might have already been added by Phuntsho,,,
Central Region Toll Free Numbers,Aug 18th 2020,Toll-Free Numbers,https://www.facebook.com/DzongkhagAdministrationBumthang/photos/pcb.1751296121687249/1751295395020655/?type=3&theater,Trongsa Dzo FB,Image,"Trongsa, Bumthang, Punakha, Gasa
Might have already been added by Phuntsho",,,
"Emergency and Referral Focal Points: Medical Desk, mental health, police, substance use, counselling",Aug 18th 2020,Various,https://www.facebook.com/TrongsaDzongkhag/photos/rpp.800190540070595/3362734857149471/?type=3&theater,Trongsa Dzo FB,Image,"Mental Health, Substance use, RBP, Violence, Outbreak",,I'm renaming this from 'Mental Health' to 'Emergency' Focal & Referral - please check once,
Dzongkhag Website,,Dzongkhag Webpage,http://www.trongsa.gov.bt/node/1,,,,,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/TrongsaDzongkhag/,,,,,,
