Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,
Grocery and doma delivery,15-Aug,Essential Supplies,https://www.facebook.com/www.tsirang.gov.bt/posts/945849225900895,Tsirang Dzongkhag Administration,Tsirang,Image,,
"Groceries, basic goods and animal feed",13-Aug,Essential Supplies,https://www.facebook.com/www.tsirang.gov.bt/posts/944627839356367,Tsirang Dzongkhag Administration,Tsirang,Image,,
Gas/Fuel services,11-Aug,Essential Supplies,https://www.facebook.com/www.tsirang.gov.bt/photos/pcb.943627866123031/943627462789738,Tsirang Dzongkhag Administration,Tsirang,Image,,
Sanitary pads and baby products delivery,11-Aug,Essential Supplies,https://www.facebook.com/www.tsirang.gov.bt/photos/pcb.943627866123031/943627526123065,Tsirang Dzongkhag Administration,Tsirang,Image,,
Information for people stranded in Tsirang,13-Aug,Retrieval(Stranded),https://www.facebook.com/www.tsirang.gov.bt/posts/945170079302143,Tsirang Dzongkhag Administration,Tsirang,Other(mention in Notes),Facebook Post by Tsiranf Dzongkhag Administration,
Focals for Essential services (Southern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966041464988/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,
Focals for Essential services (Southern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382906525104273/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs
Notification to the stranded public in Tsirang Dzongkhag,,Helpline,http://www.tsirang.gov.bt/announcements/notification-stranded-public-tsirang-dzongkhag,Other(mention in Notes),Tsirang,website,✓,
Dzongkhag Website,,Dzongkhag Webpage,http://www.tsirang.gov.bt/node/1,,,,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/www.tsirang.gov.bt/,,,,,
Covid-19 Focal person,13-Aug,Helpline,https://www.facebook.com/www.tsirang.gov.bt/posts/944627839356367,Tsirang Dzongkhag Administration,Tsirang,Image,,
